article,chunk_number,context,question,answer
تدمير البيئة,10," ويُمكن لشجرة واحدة أن تضم 40 نوعاً من النمل، وهي موطن لرُبع أنواع الثدييات في العالم[8] وعُشر أنواع الأسماك وخُمس أنواع الطيور وحوالي 2.5 مليون نوع من الحشرات.[32]
 تواجه غابات الأمازون اليوم خطراً كبيراً بسبب ارتفاع درجات الحرارة وظاهرة الاحتباس الحراري، فضلاً عن قطع الأشجار المُستمر. فقد خسرت البرازيل وحدها 150,000 كيلومتر مربع تقريباً من غاباتها بين عامي 2000 و2006 فقط (وهي مساحة أضخم من مساحة اليونان). وأما من كافة مناطق غابة الأمازون فقد قطع أكثر من 600,000 كم2 منذ عام 1970م.[33] وتذهب بعض التقديرات إلى أنه مع استمرار هذا المُعدل فسيَختفي 55% من الأمازون بسبب القطع والتدمير بحلول عام 2030م[34] (مع أن 15% تقريباً من هذا الأشجار تقطع فقط للوصول إلى الأماكن التي تجتث منها الأشجار).[8] وعلاوة على هذا، فإن هذه الغابات الضخمة تواجه تهديداً آخر من طرف الاحتباس الحراري، الذي يُمكنه أن يُهدد وُجود معظم هذه الغابات خلال قرن ونصف فقط. حسب بعض النماذج التي أعدت لارتفاع حرارة المناخ، فيُتوقع أن يَختفي ما بين 20% و40% من الغابة في حال ارتفعت الحرارة درجتين مئويتين، أما إذا ارتفعت 3 درجات فسترتفع الخسائر إلى 75%، وبمُعدل 4 درجات فيُمكن أن يَصل الرقم إلى 85% حسب هذه التقديرات",ما هي التهديدات التي تواجه غابات الأمازون اليوم؟,"تواجه غابات الأمازون اليوم خطراً كبيراً بسبب ارتفاع درجات الحرارة وظاهرة الاحتباس الحراري، بالإضافة إلى قطع الأشجار المُستمر. وتذهب بعض التقديرات إلى أنه مع استمرار هذا المُعدل فسيَختفي 55% من الأمازون بسبب القطع والتدمر"
تدمير البيئة,11," وهذا فضلاً عن أنها كانت خلال العقود الماضية تمتصّ غاز ثاني أكسيد الكربون من الجوّ بمُعدل ملياري طن في العام مُخففة بذلك من وطأة الاحتباس، مما يَعني أنها امتصت حتى الآن انبعاثات 11 عاماً من الغازات الدفيئة.[35][36]
 يُعد البحر الأحمر واحداً من أكثر بيئات العالم البحرية غناً بالشعاب المرجانية وأشكال الحياة المائية. فهو يَتميز بالتنوع الكبير للمخلوقات الحية فيه، خاصة وأن 20% من حيوانات البحر الأحمر لا تقطن أي مكان آخر في العالم.[37] يَأوي البحر الأحمر أكثر من 1,200 نوع من الأسماك المُختلفة والمُتنوعة[38] (أي قرابة 7% من كافة أنواع الأسماك الحية)،[17] و10% من هذه الأنواع لا تقطن أي مكان في العالم غيره.[39] كما أنه يَضم حوالي 330 جنساً من المرجان الرخو والصلب، فضلاً عن احتوائه لبعض أنواع الحيوانات المُهددة بالاقتراب بالانقراض مثل السلحفاة الخضراء وبقر البحر.[40]
 بسبب أعمال الصيد والسياحة وتأثيرات الاحتباس الحراريّ الحديثة فقد بدأت بيئة البحر الأحمر الغنية تصبح مُهددة بحق بالزوال أو التضرّر بشكل كبير.[41] مورس الصيد في مياه البحر الأحمر منذ قرون عديدة، وكان مصدراً هاماً للغذاء بالنسبة لسكان المنطقة القدماء، لكن خلال العقود القليلة الأخيرة بدأ عدد سكان السواحل بالازدياد بشكل مضطرد وازداد النشاط البشريّ كثيراً في المنطقة كما ازدادت السياحة. وتسبّب هذه الأنشطة المُختلفة أضراراً كبيرة لمرجان البحر الأحمر وبيئته الطبيعية، أما أكثر ما يُهددها فهو كون البحر الأحمر معبراً هاماً لناقلات النفط التي تهدد أشكال الحياة بشكل هائل عندما تسرب النفط إلى عرض البحر.[42]
",ما هي العوامل التي تهدد بيئة البحر الأحمر؟,"العوامل التي تهدد بيئة البحر الأحمر تشمل أعمال الصيد والسياحة وتأثيرات الاحتباس الحراري الحديثة. كما تشمل الزيادة السريعة في عدد سكان السواحل والنشاط البشري في المنطقة، بالإضافة إلى السياحة المتزايدة."
تدمير البيئة,12,"مال صيد بالعشرات على سواحل مصر بدأت تهدد وُجودها.[43] فخلال مطلع القرن تزايدت حوادث مُهاجمة القروش للسكان المحليين على سواحل البحر الأحمر، ولذا فقد لجأت مُديرية محافظة جنوب سيناء إلى قتل القروش كحلّ تلقائي للمشكلة دون حساب عواقبه.[44] ونتيجة لأعمال الصيد المُتزايدة فقد أصدرت السلطات المصرية عام 2006 قانوناً يُحرم بموجبه صيد القروش أو إيذاؤها، لكن هذا القانون لا يُطبق فعلياً وهناك قصور شديد في مُراقبة السواحل لمنع الصيد، ولذا فإن قروش البحر الأحمر لا تزال في خطر.[43][44]

",ما هي الأسباب التي أدت إلى تهديد قروش البحر الأحمر في مصر؟,"السبب الرئيسي هو الصيد المتزايد على القروش، ورغم أن السلطات المصرية أصدرت قانوناً يحرم صيد القروش أو إيذاؤها في عام 2006، إلا أن هذا القانون لم يطبق فعلياً وهناك قصور شديد في مراقبة السواحل لمنع الصيد."
تدمير البيئة,13," معَ استمرار تدمير المواطن والاحتباس الحراريّ وعدة ظواهر أخرى، فيُعتقد أن مُعدل انقراض الأنواع الآن ارتفع ليُصبح الأعلى في تاريخ الأرض،[48] وتذهب بعض التقديرات إلى أن 550 نوعاً من المخلوقات الحية أصبحت تنقرض كل يوم، أي ما يُعادل نوعاً كل دقيقتين ونصف و200,000 نوع تقريباً كل عام.[3] وهذا أعلى بما يَتراوح من 1,000 إلى 10,000 ضعف من معدل الانقراض الطبيعي للكائنات الحية، أو ربما أكثر من ذلك حتى، حيثُ يُعتقد أن المُعدل الطبيعي يَتراوح من نوع إلى 10 أنواع في العام فقط.[50] وعلاوة على ذلك، فيُقدر العلماء أن نوعاً واحداً على الأقل من بين كل 8 أنواع من النباتات أصبَحَ الآن مُهدداً بالانقراض. ومع هذه المُعدلات، فيُتوقع أنه خلال 30 عاماً فقط سيَكون نوع واحد من بين كل 5 أنواع قد اختفى وانقرض (والسبب الرئيسيّ لكل ذلك هو تدمير المواطن).",ما هو المعدل المتوقع لانقراض الأنواع خلال الثلاثين عامًا القادمة؟,يتوقع أنه خلال 30 عاماً فقط سيَكون نوع واحد من بين كل 5 أنواع قد اختفى وانقرض.
تدمير البيئة,14," من موطن ما فإن 50% من أنواع حيواناته تختفي. ومع هذا فإن نجاة نوع ما أو عدمها ليست أمراً عشوائياً أو ضرباً من الصدفة، فالأنواع الأضخم حجماً والأوسع انتشاراً جغرافياً مثل اللواحم هي التي تتضرّر أولاً،[52] كما أن الأنواع ذات الانتشار الجغرافيّ الضئيل أو التي لم تكن أعدادها عالية أبداً في يوم من الأيام تكون هيَ الأخرى حساسة لتدمير مساكنها أكثر من غيرها. وأيضاً كثيراً ما تواجه الحيوانات الاجتماعية أو التي تعيش في مَجموعات أو مُستعمرات انحداراً في أعدادها، وبالطبع فبشكل عام تتأثر جميع الحيوانات إلى حد كبير بتدمير مساكنها أو مواطنها حتى ولو تفاوتت قليلاً.[52]
 كان يَعيش طائر أبو منجل الأقرع الشمالي في المَاضي ضمن منطقة وَاسع تمتد عبرَ الوطن العربي وشمال أفريقيا وجنوب أوروبا في السهول والأراضي المَفتوحة قليلة الأشجار، وهوَ طير كبير الحجم يَصل طوله إلى 80 سنتيمتراً.[53] لكن في الوَقت الحاضر هَذا الطائر مُصنف على القائمة الحمراء للاتحاد العالمي للحفاظ على الطبية ومواردها كمُهدد بالانقراض بشدة عالمياً منذ سنة 2006[54] (وهيَ أقصى درجة تهديد على القائمة مُباشرة قبل درجة الانقراض في البرية) بعدَ أن اختفى تماماً من برية أوروبا (بالرغم من إعادة إطلاقه فيها حديثاً جداً)[53] وأصبحت أعداده مَحدودة جداً في الوطن العربي. ",ما هو الطائر الذي كان يعيش في الماضي ضمن منطقة واسعة تمتد عبر الوطن العربي وشمال أفريقيا وجنوب أوروبا والذي أصبح مهددا بالانقراض الآن؟,طائر أبو منجل الأقرع الشمالي.
تدمير البيئة,15,"أبو منجل الأقرع الشمالي منقرضاً في سوريا حتى عام 2002[55] عندما عُثر على 4 طيور منه في البرية، ومنذُ ذلك الوَقت وعددها في سوريا آخذ بالاضطراب بين ازدياد ونقصان. أما إسبانيا فقد أطلق فيها 100 طير في البرية حتى عام 2008.[53]
 كما تقطن أسماك كلكنتا جزر القمر منطقة شرق أفريقيا، وهيَ حيَوانات كان يُعتقد أنها منقرضة منذ العصر الطباشيري المتأخر حتى زمن قريب عند اكتشاف أفراد حية منها عام 1938. ولهذا السَّبب فهذه الأسماك تُعد كنزاً بيولوجياً وأحفورة حية لدراسة تطور المَخلوقات القديمة،[57] ويُعتقد أنها كانت شكلاً من الأشكال البدائية للأسماك التي بدأت بالتكيف للسَّير على اليَابسة. لكن كلكنتا جزر القمر تُواجه في الوقتِ الحاضر خطر الانقراض، فمَعَ أن أعدادها ليست معروفة تماماً ولم تُحصى أو حتى تُقدر بدقة إلى اليوم، فهيَ تُصنف حالياً كنوع شبه مهدد بالانقراض حسب القائمة الحمراء للاتحاد العالمي للحفاظ على الطبية ومواردها.",ما هو الحيوان الذي كان يُعتقد أنه منقرض منذ العصر الطباشيري المتأخر حتى تم اكتشاف أفراد حية منه عام 1938؟,أسماك كلكنتا جزر القمر. 
تدمير البيئة,16,"وريا الشمالية عامَ 1969[61] بالرغم من أنه يُعتقد بوُجود بضعة نمور منها في البلاد حتى الآن. ومع أن أوضاع هذه السلالة هكذا في البرية، فلا زال يُوجد في الأسر حوالي 300 نمر منها.[59] وبسبب حالة النمر السيبيري هذه، فقد صُنفَ على القائمة الحَمراء عام 2000 كمُهدد بالانقراض بشدة (أعلى درجة تهديد قبل الانقراض في البرية).[61]
 البشر هم من أكبر التهديدات التي تسبب تدمير المواطن والمساكن الطبيعية حول العالم.[5] فأعداد الحيوانات لا تزداد عادة بشكل حاد، وتظل متوازنة بشكل طبيعي، أما أعداد البشر على الكوكب فقد أخذت بالازدياد بشكل مُضطرب وشديد جداً خلال القرون الأخيرة. ومع هذا التزايد الكبير في أعداد الناس فحاجاتهم تتزايد، واستهلاكهم للموارد الطبيعية يَزداد أيضاً بسرعة كبيرة. ولذا فإن حاجات النموّ السكانيّ من الموارد والأراضي أصبحت الحاجة الرئيسية وراء تدمير البشر للمواطن الطبيعية، وذلك في عدة أشكال.[62]
 يَتسبب قطع الأشجار بهدف تصنيع الخشب والورق باختفاء الغابات إلى حد كبير، ومع أنه لا تقطع في العادة سوى الأشجار الكبيرة فإن هذا يُسبب في كثير من الأحيان تخريب الأشجار الصغيرة التي لا تنمو أبداً مُجدداً. كما أن البلدان الفقيرة لا تملك عادة سوى الخشب كمصدر للوقود، مما يَتسبب بقطع الأشجار إلى حد كبير، فحوالي 80% من الخشب الذي يُقطع في العالم يُستخدم لإنتاج الوقود. يُمكن أيضاً أن تقطع الأشجار لأهداف استخدام الأراضي نفسها وليس الأشجار، مثل توفير المراعي لماشية المُزارعين أو لزراعة الأرض، أو إتاحة مساحة لبناء المدن وشق الطرق. وحرائق الغابات هي أيضاً مُسبب لتدمير الغابات، فهي تدمر ما بين 15 و36 مليون أكر من الغابات المدارية كل عام.[62]
",ما هو السبب الرئيسي وراء تدمير البشر للمواطن الطبيعية؟,السبب الرئيسي وراء تدمير البشر للمواطن الطبيعية هو حاجات النمو السكاني من الموارد والأراضي التي أصبحت تزداد بشكل مضطرب وشديد جداً خلال القرون الأخيرة.
تدمير البيئة,17," في أوَاخر القرن العشرين، وتحديداً في العقد الأخير منه (1990 - 2000م)، كان معدَّل قطع الأشجار السنويِّ المُسجل يَبلغ 8.9 ملايين هكتار[ملاحظة 1] (21% منها في البرازيل وَحدها) أو ما يُعادل نسبة 2.2% سنوياً من مساحة الغابات التي كانت موجودة آنذاك. لكن بالرّغم من تلك الأعداد الهَائلة التي كانت تُقطع في السَّابق وخسارة الأرض لـ60% من غاباتها خلال القرن الأخير، فقد بدأت هذه المُعدلات الهائلة بالانخفاض والاهتمام العامُّ بالبيئة بالتحسُّن مع مطلع القرن الواحد و العشرين. إذ انخفضت كميَّة الأشجار التي تُقطع سنوياً - حسب تقديرات منظمة الأغذية والزراعة - بين عامي 2000 و2005 إلى 7.3 هكتار (24% منها في البرازيل وَحدها)، وبذلك أصبحَ المُعدل العام 1.8% من إجماليِّ مساحة غابات العالم.",ما هو المعدل السنوي لقطع الأشجار خلال العقد الأخير من القرن العشرين وكيف تغير هذا المعدل في بداية القرن الواحد والعشرين؟,"خلال العقد الأخير من القرن العشرين، كان المعدل السنوي لقطع الأشجار يبلغ 8.9 ملايين هكتار. ولكن، بدأ هذا المعدل بالانخفاض في بداية القرن الواحد والعشرين."
تدمير البيئة,18,"الدُّول التي سجلت انخفاضاً خلال تلك الفترة الصين وإندونيسيا بعدَ أن خسرتا مساحات هائلة من غاباتهما الطبيعيَّة. وقد أدى هذا الانخفاض المَلحوظ إلى تحسن مُعدلات الكربون التي تبتعثها الغابات، إذ انخفضت إلى 500 مليون طن سنوياً بعدَ أن كانت أعلى بكثير في التسعينيات. لكن معَ ذلك فإن المُنظمة تعتبر أن المُعدل العالمي لا زال مُرتفعاً وخطيراً جداً، ولا بُدَّ من تخفيضه إلى حد أكبر خلال السنوات القادمة.[66]

",ما هي الدول التي سجلت انخفاضا في مساحات غاباتها الطبيعية؟,الصين وإندونيسيا.
محرك نفاث,1,"تعديل - تعديل مصدري - تعديل ويكي بيانات المحرك النفاث هو محرك ينفث الموائع (الماء أو الهواء) بسرعة فائقة لينتج قوة دافعة اعتماداً على مبدأ قانون نيوتن الثالث للحركة. هذا التعريف الواسع للمحركات النفاثة يشمل أيضا التوربين النفاث، والتوربين المروحي، والصواريخ، والنفاث التضاغطي، والنفاث النبضي، وأيضا المضخات النفاثة. ولكن باللفظ الشائع يُقصد بالمحرك النفاث: محرك بريتون لدورة التوربين الغازي، أو اختصاراً، التوربين الغازي ذي ضاغط الغاز المدعوم من دفع الهواء أو الماء له، والذي تنتج طاقته المتبقية الدفع أو القوة الدافعة. ألف الناس بأن التوربين الغازي يعرّف بأنه أحد التطبيقات المنفصلة عن المحرك نفاث، بدلاً من القول وبطريقة أصح بأنه جزء من المحركات النفاثة التي تشكل محركات احتراق داخلي[1] دون أن تُظهر أي شكل من أشكال الاحتراق خارج المحرك.
 ",ما هو المحرك النفاث وما هي استخداماته الأساسية؟,"المحرك النفاث هو محرك ينفث الموائع (الماء أو الهواء) بسرعة فائقة لينتج قوة دافعة اعتماداً على مبدأ قانون نيوتن الثالث للحركة. يشمل التعريف الواسع للمحركات النفاثة التوربين النفاث، والتوربين المروحي، والصواريخ."
محرك نفاث,2," ظهر الدفع النفاث، بصورة مجازية، مع ظهور الصواريخ عند الصينين بالقرن الثالث عشر، وقد بدأت الصواريخ بداية متواضعة حيث كانت تستعمل بالألعاب النارية، ثم تطورت بسرعة لتصبح شكل من أشكال الاسلحة، لتتوقف عند هذا الحد طيلة مئات السنين ولا يطرأ عليها أي تطور جديد.[4] عام 1633، أقلع العالم العثماني لاجاري حسن جلبي مع ماوصف بصاروخ مخروطي الشكل وهبط هبوطًا رائعًا على الأرض باستخدام شكل من أشكال الأجنحة البدائية، مما جعل السلطان يكافئه على ذلك، فجعله في منصب رفيع بالجيش العثماني.[5]
 كانت الصواريخ البدائية بسيطة الصنع وغير فعالة لأداء السرعات المنخفضة، وبالتالي لم يكن بالإمكان استخدامها بالطيران. وبحلول عام 1930 كان العلماء قد ابتكروا المحرك المكبس ذي الأشكال المختلفة (القطر الثابت والقطر الدوار، المبرد بالماء أو بالهواء) فكان بهذا الشكل الوحيد المتوفر لاستخدامه في الطائرات في ذلك الزمن، ولقي قبولاً واسعًا بسبب انخفاض كفائة الطائرات التي كانت متوافرة حينئذ.
",متى ظهرت الصواريخ لأول مرة وكيف تطورت؟,"ظهرت الصواريخ لأول مرة عند الصينيين في القرن الثالث عشر، وكانت تستخدم في الألعاب النارية في البداية، ثم تطورت لتصبح شكل من أشكال الأسلحة. "
محرك نفاث,3," يسمى بالمحرك النفاث، ويعتبر هذا الابتكار الثورة الثانية في عالم الطيران منذ طيران الأخوان رايت الأول.
 كانت تصاميم المحركات النفاثة الأولى تصاميمًا هجينة، حيث كانت مصادر الطاقة تستخلص أولاً بضغط الهواء ثم تُخلط مع الوقود للاحتراق لتولّد دفعًا نفاثًا للمحرك. صممت تلك المحركات الأولى على يد سكندو كامبيني وأطلق عليها تسمية النفاثات الحرارية،[7] وتمثلت طريقة عملها بأن الهواء المضغوط عن طريق المروحة كان يُقاد بواسطة محرك المكبس التقليدي. ومن أمثلة هذه الأنواع تصميم قديم لهنري كواندا لمحرك طائرة كواندا، [8][9] 1910 ثم كامبيني كابروني سي سي 2[10] عام 1940 والمحرك الياباني ""Tsu-11"" الذي استخدم في طائرات الكاميكاز. وعلى الرغم من هذا التطور في تصاميم المحركات النفاثة، والذي استمر حتى نهاية الحرب العالمية الثانية، فإن تلك المحركات لم تحقق نجاحًا كليًا عندما وضعت موضع التجربة، فمحرك CC.2 الإيطالي على سبيل المثال الذي عمل عليه المصممون لفترة طويلة، تبين أنه كان أبطأ من بعض التصاميم التقليدية.
",ما هو المحرك النفاث وما هي بدايات تصميمه؟,"المحرك النفاث هو ابتكار يعتبر الثورة الثانية في عالم الطيران. بدايات تصميم المحركات النفاثة كانت هجينة، حيث كانت مصادر الطاقة تستخلص أولاً بضغط الهواء ثم تُخلط مع الوقود للاحتراق لتولّد دفعًا نفاثًا للمحرك. "
محرك نفاث,4,"في عام 1923 كتب ادجار بكنجهام من المكتب الوطني الأمريكي للمقاييس تقريرا شكك فيه أن المحرك النفاث يمكنه أن ينافس اقتصاديًا الطائرات ذات المراوح بالارتفاعات أو السرعات المنخفضة وقال فيه: «لايوجد أي فرصة حالية تمكن المحركات ذات المراوح النفاثة من النوع الموجود أن تكون عملية وفعالة حتى بالمجال العسكري».[13]
 عام 1929 عرض الطيّار المتدرج فرانك ويتل أفكاره عن التوربين النفاث بشكل رسمي إلى رؤسائه، [14][15] وحصل على براءة الاختراع بعد ذلك بسنة في إنجلترا واعتمدت عام 1932.[16][17] أخرج هذا الاختراع للعالم ضاغط دفع محوري ذو مرحلتين يغذي ضاغط الطرد المركزي أحادي الطرف، وكان يركز على أبسط ضاغط بالطرد المركزي فقط.",من هو الذي كتب تقريرا شكك فيه أن المحرك النفاث يمكنه أن ينافس اقتصاديًا الطائرات ذات المراوح بالارتفاعات أو السرعات المنخفضة في عام 1923؟,ادجار بكنجهام من المكتب الوطني الأمريكي للمقاييس. 
محرك نفاث,6," ومع ذلك فإن لمحركات ويتل مزايا مهمة كخفة الوزن وبساطة الصنع والقدرة على الاعتماد عليها، وقد تطورت بسرعة لتواكب التصميمات الصالحة للطيران.
 أقدم المهندس النمساوي أنسيلم فرانز من شركة يونكرز الألمانية على حل تلك المشكلات سالفة الذكر بابتكاره لضاغط دفع محوري، وهو بالأساس محرك توربيني معكوس، فالهواء يهب بقوة من الأمام نحو مؤخرة المحرك عن طريق منصة المراوح أو قنوات التقارب، حيث تكون قد تبددت أمام مجموعة مراوح ثابتة تُسمى قنوات التباعد، وتبين لفرانز في وقت لاحق أن تلك العملية لا تولد ذات القوة التي يولدها ضاغط الطرد المركزي، لذلك وضع عدد من تلك المراوح الثابتة والمتحركة بالتسلسل في سبيل الحصول على الضغط المطلوب، ومع تلك الإضافات المعقدة، بقي قطر المحرك صغيرًا نوعًا ما، مما أعطى ديناميكية أفضل للطائرة، فسُمي المحرك محرك جامو 004، وبعد حل الكثير من الإشكالات الفنية، أقدمت المصانع على إنتاج الكثير من تلك المحركات ابتداءً من سنة 1944.",من هو المهندس الذي قام بابتكار ضاغط الدفع المحوري لحل مشكلات محركات الطائرات النفاثة؟,المهندس النمساوي أنسيلم فرانز من شركة يونكرز الألمانية.
محرك نفاث,7," طورت محركات دفق الطرد المركزي من تقنية الارتكاز، فازدادت سرعة عمود الدوران الرئيسي بالمحرك، وتقلص قطر ضاغط الطرد المركزي. يعتبر المحرك الأقصر من مميزات هذا التصميم، وهو يُستخدم في الطائرات المروحية بشكل خاص، حيث يعتبر حجم المحرك أكثر أهمية من الواجهة الأمامية، وحيث تكون مكونات المحرك أكثر قوة وأشد متانة، وحيث يعتبر ضاغط الدفق المحوري أكثر عرضة للأجسام الغريبة المخربة.
 كان استعمال المحركات النفاثة قد أصبح واسع الانتشار في عدد من أسلحة الجو حول العالم بحلول عقد الخمسينات من القرن العشرين، ولم يدخل استعمال هذه المحركات في نطاق الطائرات المدنية بشكل عام إلا بحلول عقد الستينيات، عندما أصابت حمى التطوير محركات المراوح التوربينية فأخرجت المحرك المكبس من النظام بأكمله وجعلته مخصصًا للطائرات الصغيرة المخصصة للخدمات العامة.
 ",متى بدأ استخدام المحركات النفاثة في الطائرات المدنية بشكل عام؟,بدأ استخدام المحركات النفاثة في الطائرات المدنية بشكل عام بحلول عقد الستينيات من القرن العشرين.
محرك نفاث,8,"أسرع إذا ازدادت نسبة انبعاث الهواء بالثانية من المحرك أو إذا ازدادت سرعة الهواء المنبعث، فكليهما نفس الشيء. إلا أن الطائرة التي بسرعة معينة (v)، والهواء يتحرك باتجاهها سينتج احتكاك عنيف ينعكس على سحب الهواء: m v.
 للمحركات النفاثة مدخل هواء يمكن كمية كبيرة من الغازات أن تخرج من العادم. أما محرك الصاروخ العادي فليس له مدخل هواء، لذا يُحمل الوقود والمؤكسدات على الهيكل، وبالتالي فإن تلك المحركات ليس لديها احتكاك قوي. الدفع الإجمالي على الخرطوش هو نفسه صافي الدفع للمحرك. لذا فإن خصائص دفع المحرك الصاروخي تختلف تماما عن المحركات النفاثة.
 يعتبر محرك شفط الهواء مفيدًا فقط في حالة سرعة الغاز الخارج من العادم (c)، حيث يكون أكثر سرعةً من الطائرة (v). صافي دفع المحرك يعادل أو يساوي نفس نسبة الغاز المنبعث مع السرعة (c) - (v)، لذلك فإن الدفع يُعادل في واقع الأمر: (S = m(c - v
 لمحرك العمود التوربيني مراوح دوارة كبيرة بإمكانها سحب وتسريع دخول كمية كبيرة من الهواء لسرعة محدودة، وهذا ينطبق على جميع الطائرات ذات المراوح، لذلك فهي لا تعطي أي دفع إضافي إذا تعدت الطائرة السرعة القصوى. (c-v <0)
 التوربين النفاث، والمحركات المشابهة له، تسحب وتسرع من دخول كميات أقل من الهواء وتحرق الوقود، ولكن تبعث ذلك بأعلى سرعة ممكنة بواسطة خرطوش يسمى دي لافال. لهذا السبب فهي ملائمة للسرعات فوق الصوتية.
",ما العامل الذي يجعل محرك شفط الهواء مفيدًا؟,"محرك شفط الهواء يكون مفيدًا فقط في حالة سرعة الغاز الخارج من العادم (c)، حيث يكون أكثر سرعةً من الطائرة (v)."
محرك نفاث,9,"لتلك المحركات تأثير أقوى من النفاثة بالسرعات المنخفضة، وتعتبر أفضل من عمود الدوران التوربيني(طائرة مروحية) والمراوح بشكل عام، عند السرعة العالية. فعند الوصول إلى سرعة 10 كيلومترات مثلاً، تكون فعالية محرك عمود الدوران التوربيني أقوى على مستوى 0.4 ماك، أما المروحة التوربينية ذات التحويلة الجانبية البسيطة فتكون أكثر فاعلية على مستوى 0.75 ماك، والمحركات النفاثة بدورها تكون أفضل عندما تصل السرعة إلى 1 ماك، وهي سرعة الصوت.
 تعد السرعة والارتفاع العاليين أفضل بالنسبة لمحركات الصواريخ، ذلك أن دفع وكفاءة محرك الصاروخ تتحسن تدريجيًا مع زيادة معدل الارتفاع (بسبب انخفاض الضغط الخلفي وهكذا سيزداد صافي الدفع من على خرطوش العادم)، بينما يسبب انخفاض كثافة الهواء الداخل للمسرب (وكذلك انخفاض الهواء الساخن الخارج من الخرطوش) انخفاض صافي الدفع بزيادة الارتفاع بالنسبة للتوربين النفاث أو التوربين المروحي. تعتبر محركات الصواريخ أكثر كفاءة حتى من إكس 45 عندما يصل مستوى سرعتها إلى 15 ماك.",ما هو المحرك الأكثر فعالية عند الوصول إلى سرعة 1 ماك؟,المحركات النفاثة هي الأكثر فعالية عند الوصول إلى سرعة 1 ماك.
محرك نفاث,10," إن عمل الضخ للضاغط في الظروف العادية يمنع أي دفق خلفي، لذلك تسهل عملية التدفق المستمر للمحرك. تشبه تلك العملية بكاملها دورة احتراق رباعية الأشواط إلا أن عمليات السحب والضغط والإشعال والتمدد إلى العادم تحصل بآن واحد وبأجزاء مختلفة من المحرك. تعتمد كفاءة المحرك النفا على معدل الضغط الكلي بشكل كبير (الضغط الداخل لغرفة الاحتراق\ضغط الهواء الداخل) وعلى حرارة فتحة التوربين في الدورة الكاملة.
 يختلف التوربين النفاث عن محرك المراوح في عدّة نقاط:[25] فالتوربين النفاث يأخذ كمية قليلة من الهواء ويضغطها إلى كمية ضخمة، بينما المراوح تسحب كميات ضخمة من الهواء وتضغطها إلى كمية صغيرة. عادم التوربين النفاث عالي السرعة يجعلها ذات كفاءة بالسرعات العالية (خاصة بالسرعات الفوق صوتية) وبالارتفاعات العالية. تعتبر محركات المراوح التي تدار بالتوربين الغازي والمعروفة باسم محرك مروحة توربينية الأكثر شعبية وكفاءة بالطائرات ذات السرعات المنخفضة وتلك التي تطير مسافات قصيرة. تستخدم الطائرات الصغيرة جدًا محركات مكبس لإدارة المراوح.
 صمم المهندسون التوربين النفاث ببكرة واحدة، أي بعمود مفرد يصل التوربين بالضاغط. ",ما هو العامل الذي يعتمد عليه كفاءة المحرك النفاث؟,كفاءة المحرك النفاث تعتمد على معدل الضغط الكلي بشكل كبير (الضغط الداخل لغرفة الاحتراق\ضغط الهواء الداخل) وعلى حرارة فتحة التوربين في الدورة الكاملة.
محرك نفاث,11," معظم محركات الطائرات النفاثة هي محركات توربينية مروحية، يعمل فيها ضاغط الضغط المنخفض LP كمروحة ويعطي شحنة زيادة من الهواء لقلب المحرك وللمجرى الجانبي المحيط بالقلب. يمر تيار الهواء الجانبي باتجاهين: الخرطوش البارد الخارجي، أو يختلط مع الغازات الخارجة من عادم التوربين ذو ضغط LP المنخفض، قبل التمدد خلال خرطوش التيار المختلط. ترغب شركات الطيران عادةً بالحصول على تلك المحركات بسبب سرعة العادم ما دون الصوتية التي تلائم سرعة الطيران، التي ترغب بها تلك الشركات.
 كان هناك بعض الفروقات ما بين محركات النفاثة المدنية والعسكرية خلال عقد الستينات من القرن العشرين، باستثناء نظام إعادة الإحراق لبعض التطبيقات الفوق صوتية (وتستخدمها الطائرات العسكرية لزيادة السرعة). للتوربين المروحي المدني سرعة عادم منخفضة حاليًا (الدفع النوعي منخفض)، وذلك لتقليل ضوضاء النفاث إلى أقل ما يمكن ورفع كفاءة التوفير بالوقود، من ثم فإن المعدل الجانبي أو معدل التخفيف\التجاوز (تيار الهواء الجانبي مقسومًا على تيار الهواء داخل قلب المحرك حسب المحرك التوربيني أو المروحي الخارجي) يكون مرتفعًا بعض الشيء (تعتبر المعدلات التي تتراوح بين 4:1 و 8:1 معدلات عادية)، لذلك يحتاج هذا المحرك إلى مروحة مفردة فقط، لأن انخفاض معدل الدفع النوعي يشمل انخفاضًا بمعدل ضغط مروحي.[26]
",ما هي الفروقات بين محركات النفاثة المدنية والعسكرية؟,"الفروقات تتمثل في الدفع النوعي، حيث يكون للتوربين المروحي المدني سرعة عادم منخفضة لتقليل ضوضاء النفاث ورفع كفاءة التوفير بالوقود، بينما تتميز محركات التوربين المروحي العسكرية بدفع نوعي مرتفع لزيادة الدفع لأقصى حد ممكن"
